"Requisito / Atributo","Nível 1","Nível 2","Novo Mercado"
"Free Float mínimo","Mínimo de 25 % do capital em circulação, com possibilidade de exceção temporária mediante plano de recomposição aprovado pela B3.","Mínimo de 25 % do capital em circulação, admitindo exceções conforme regras de recomposição de free float.","Mínimo de 20 % do capital em circulação, podendo ser 15 % quando atendidos requisitos de liquidez e dispersão definidos pela B3."
"Tipo de ações permitidas","Permite ações ordinárias e preferenciais, conforme legislação societária.","Permite ações ordinárias e preferenciais, desde que garantido tag along de 100 % para ambas.","Apenas ações ordinárias com direito a voto."
"Tag Along (direito de venda conjunta)","Conforme a legislação societária (mínimo de 80 % para ON).","100 % do valor pago ao controlador para ON e PN.","100 % do valor pago ao controlador para ON."
"Composição do Conselho de Administração","Exigência de mínimo de 3 membros, mandato unificado de até 2 anos, sem exigência formal de independência.","Mínimo de 5 membros, com 20 % independentes ou no mínimo 2 membros independentes, mandato unificado de até 2 anos.","Mínimo de 5 membros, sendo 2 ou 20 % independentes (o que for maior), mandato unificado de até 2 anos."
"Vedação à acumulação de cargos","Sem vedação expressa.","Presidente do Conselho e Diretor-Presidente não podem ser a mesma pessoa.","Presidente do Conselho e Diretor-Presidente não podem ser a mesma pessoa."
"Cláusula Compromissória de Arbitragem","Facultativa.","Obrigatória.","Obrigatória."
"Demonstrações Financeiras e Divulgação","Divulgação em padrão nacional (CPC/IFRS).","Divulgação em padrão nacional, com informações adicionais exigidas pela B3.","Divulgação em padrão nacional (CPC/IFRS) e inglês, calendário corporativo, relatório anual e formulário de referência atualizado."
"Adoção de Políticas Obrigatórias","Recomendadas.","Política de remuneração e de negociação de valores mobiliários recomendadas.","Obrigatórias: Política de Remuneração, de Indicação, de Gestão de Riscos, de Transações com Partes Relacionadas, de Negociação de Valores Mobiliários e de Sustentabilidade."
"Auditoria e Comitês","Recomendação de auditoria independente.","Obrigatoriedade de auditoria independente registrada na CVM.","Auditoria independente registrada na CVM e recomendação de Comitê de Auditoria Estatutário."
"Ofertas Públicas de Aquisição (OPA)","Regras da legislação societária.","OPA obrigatória por valor econômico em caso de cancelamento de registro ou saída do segmento.","OPA obrigatória por valor econômico em caso de cancelamento de registro ou saída do segmento."
"Governança Ambiental, Social e de Sustentabilidade (ESG)","Incentivo à adoção voluntária de práticas ESG.","Exigência de divulgação de relatório de sustentabilidade ou documento equivalente.","Exigência de divulgação anual de relatório ESG, elaborado conforme diretrizes B3 e ODS/ONU."
"Prazo de Adequação às Regras","18 meses após adesão.","18 meses após adesão.","18 meses após adesão."
"Mecanismos de Fiscalização e Penalidades","Penalidades contratuais leves, incluindo advertência e multa.","Penalidades contratuais moderadas, incluindo suspensão.","Penalidades contratuais severas, incluindo suspensão e exclusão do segmento."
